text,sentiment
The functional carpet is clogged and unusable and it cost a lot.,0
The heavy walls is made of standard materials but more work may be needed.,1
The stairs was repaired today,2
"Yesterday, The heavy dishwasher was noted in the report but more work may be needed.",1
"During the inspection, The driveway is standard construction",1
The ceiling is clogged and unusable,0
The fireplace is broken,0
The ceiling needs repairs,0
The gutters was checked for issues and it caused some delays.,1
The countertop was rebuilt and looks great,2
The countertop was repaired today and the team handled it well.,2
The new oven was rebuilt and looks great which was surprising.,2
"In the report, The windows is clogged and unusable and it cost a lot.",0
The carpet was upgraded to a better model and the team handled it well.,2
The driveway finally works perfectly,2
"Yesterday, The fence is made of standard materials",1
The dishwasher stopped working and it cost a lot.,0
"This morning, The driveway needs repairs",0
"During the inspection, The chimney is original to the house",1
The windows was repaired today which was surprising.,2
The patio is cracked and unstable as expected.,0
The water heater was rebuilt and looks great and it was documented.,2
The roof is made of standard materials,1
The sprinkler system is broken,0
"In the report, The air ducts is damaged and getting worse",0
"According to the contractor, The plumbing is original to the house",1
"During the inspection, The porch was checked for issues",1
The light kitchen is part of the main structure,1
The driveway was restored successfully,2
"Yesterday, The water softener was improved significantly and it was documented.",2
The fence is rusting and deteriorating,0
The updated walls is malfunctioning,0
The countertop was photographed for records and the team handled it well.,1
The water softener is failing and needs attention,0
"During the inspection, The windows is part of the main structure",1
"This morning, The flooring is typical for this type of home",1
The chimney is malfunctioning and it was documented.,0
The heavy fridge is part of the main structure,1
"Last week, The fridge is damaged and getting worse which improved the home value.",0
"According to the contractor, The fence was remodeled beautifully",2
The basic countertop was upgraded to a better model,2
The carpet was serviced and now runs smoothly,2
"Yesterday, The solar panels was measured and documented",1
The old chimney was cleaned and repaired,2
The sprinkler system is typical for this type of home,1
"Yesterday, The foundation finally works perfectly",2
"In the report, The ceiling was patched and reinforced and it was documented.",2
The basic carpet is located in the basement,1
The ceiling is scheduled for maintenance which was surprising.,1
The fireplace is scheduled for maintenance,1
The damaged carpet needs repairs,0
The worn foundation is part of the main structure,1
"Recently, The electrical system was reviewed during the walkthrough",1
"According to the contractor, The dirty oven is clogged and unusable",0
The patio is falling apart,0
The plumbing was restored successfully,2
The flooring is damaged and getting worse which improved the home value.,0
The solar panels is cracked and unstable,0
The backyard was cleaned and repaired but more work may be needed.,2
"In the report, The functional bathroom finally works perfectly",2
The dirty siding was remodeled beautifully,2
"Yesterday, The walls is cracked and unstable",0
The air ducts is unsafe to use,0
The basement was patched and reinforced and it caused some delays.,2
The dishwasher was cleaned and repaired which improved the home value.,2
The carpet is broken,0
The worn porch was rebuilt and looks great,2
The fireplace was improved significantly,2
The shower is rusting and deteriorating,0
The functional electrical system is typical for this type of home but more work may be needed.,1
The garage door is located in the basement,1
"Last week, The modern deck is warped from water damage and everything went smoothly.",0
The backyard was completely replaced and the team handled it well.,2
The porch is cracked and unstable,0
"This morning, The patio is scheduled for maintenance as expected.",1
"According to the contractor, The oven was patched and reinforced",2
"According to the contractor, The clean gutters is older but functional and the team handled it well.",1
The old chimney was fixed by a contractor,2
The basement finally works perfectly as expected.,2
The basement was modernized as expected.,2
"Recently, The water heater is broken",0
The electrical system was restored successfully as expected.,2
"Yesterday, The garage door was rebuilt and looks great",2
The countertop is typical for this type of home and it cost a lot.,1
"Recently, The siding is original to the house and the team handled it well.",1
"In the report, The plumbing is falling apart and everything went smoothly.",0
"In the report, The damaged fence was rebuilt and looks great",2
"This morning, The shower was completely replaced",2
"Yesterday, The modern roof was noted in the report",1
