text,sentiment
The security alarm never stopped causing problems.,0
The review board hasn't inspected the television yet.,1
"According to the passengers, the coffee maker has zero issues.",2
The customer has no comment on the smartphone camera at this time.,1
"Truth be told, the librarian didn't report any issues with the neighborhood park.",2
"According to the babysitter, the airline staff has no problems.",2
There is no issue with the neighborhood park.,2
We couldn't overlook the issues with the vacuum cleaner.,0
The plumber we hired didn't report any issues with the atm.,2
Not a single complaint was made about the neighborhood park.,2
The journalist never had anything good to say about the dating app.,0
The judge hasn't inspected the aquarium tour yet.,1
Nobody has looked at the board game this week.,1
We didn't detect any mold around the mailbox.,2
The new intern couldn't stop complaining about the yoga mat.,0
The electrician isn't available to discuss the smartwatch today.,1
We found mold throughout the bathroom tiles.,0
The receptionist didn't report any issues with the internet provider.,2
You won't find a single flaw in the exam.,2
His roommate couldn't stop complaining about the internet connection.,0
We couldn't overlook the issues with the emissions test.,0
We didn't have a good experience with the aquarium tour.,0
There is no update yet on the game update.,1
No asbestos was found during the inspection of the kitchen cabinets.,2
My mentor didn't mention the waiter in the notes.,1
The accountant confirmed that the atm isn't a problem.,2
We found settling cracks throughout the load-bearing walls.,0
The passengers said there is no shortage of issues with the concert venue.,0
"Looking back, the email support has no issues at all.",2
There isn't a single good thing about the ride booking app.,0
The new laptop is far from being reliable.,0
It's unclear if a pest infestation is present in the bathroom tiles.,1
The survey respondents found nothing satisfactory about the scooter.,0
There is no update yet on the lawn mower.,1
We found rot throughout the security alarm.,0
"To be fair, the passengers never found anything wrong with the cable package.",2
There are no problems with the school curriculum.,2
"Looking back, i didn't notice any problems with the parking situation.",2
The audience confirmed that the dentist appointment is far from fine.,0
"Overall, according to my coworker, the checkout process has no problems.",2
"In my experience, the concierge has no complaints about the antivirus software.",2
"Looking back, the tow truck service wasn't mentioned in the report.",1
"Looking back, according to the committee, the museum tour has no problems.",2
It's unclear if asbestos is present in the roof.,1
"After using it for a while, there is no update yet on the daycare.",1
There are no issues with structural issues anywhere near the plumbing.,2
The accountant didn't report any problems with the manager's decision.,2
The inspector couldn't recommend the app to anyone.,0
The judge didn't report any issues with the server downtime.,2
"So far, the analyst said there is no issue with the checkout process.",2
The students didn't report any problems with the coffee maker.,2
"In general, the home inspector said there is no issue with the staircase.",2
Our neighbor hasn't inspected the bicycle yet.,1
"After using it for a while, the committee hasn't decided on the marketing campaign yet.",1
The mechanic confirmed that the board game is far from fine.,0
"Looking back, the real estate agent has no comment on the siding at this time.",1
"In general, the concierge has no comment on the kayak at this time.",1
There is no shortage of problems caused by the water damage in the sump pump.,0
We found poor drainage throughout the insulation.,0
No repair has managed to solve the settling cracks in the HVAC system.,0
The librarian didn't mention the crypto exchange in the notes.,1
The librarian found nothing satisfactory about the manager's decision.,0
The plumber we hired never had anything good to say about the traffic downtown.,0
My coworker has no comment on the project plan at this time.,1
The focus group found nothing satisfactory about the stock trading app.,0
The auditor couldn't stop complaining about the car wash.,0
My classmate confirmed that the oil change isn't a problem.,2
"Looking back, there is no good side to the banking app.",0
The committee found nothing satisfactory about the car engine.,0
"Based on what I've seen, the storage unit isn't working properly at all.",0
We couldn't overlook the issues with the tent.,0
My classmate didn't mention the beach cleanliness in the notes.,1
No termites was found during the inspection of the septic tank.,2
"Honestly, the pharmacist said there is no issue with the daycare.",2
"Thankfully, the retaining wall has never had clogged pipes.",2
"Honestly, the librarian couldn't find a single flaw in the camping gear.",2
My coworker didn't report any problems with the test drive.,2
We had absolutely no issues with the protein powder.,2
An inspection found no signs of faulty wiring in the attic.,2
"Overall, the panel said there are nothing but problems with the remote control.",0
There is no way to ignore the mold affecting the bathroom tiles.,0
The pharmacist isn't available to discuss the refund process today.,1
The contractor confirmed that the deck isn't a concern.,2
"Based on what I've seen, the concierge didn't report any issues with the antivirus software.",2
The focus group never found anything wrong with the customer service.,2
We couldn't overlook the issues with the moving company.,0
The students said there is no shortage of issues with the wifi signal.,0
The pharmacist said there is no way to fix the daycare.,0
There are no issues with the yoga class.,2
We didn't detect any clogged pipes around the flooring.,2
The bakery never lives up to expectations.,0
The auditor confirmed that the parking garage isn't a problem.,2
"All things considered, there is no good side to the visa application.",0
"According to the pharmacist, the online course doesn't work at all.",0
An inspection found no signs of foundation shift in the pool.,2
The voting process isn't something I'd trust again.,0
The coach isn't available to discuss the toll booth today.,1
"So far, nothing about the product recall was acceptable.",0
The food delivery app never stopped causing problems.,0
The tour guide isn't available to discuss the public restroom today.,1
There are no issues with leak anywhere near the driveway.,2
I didn't expect the insurance claim to be this disappointing.,0
"Overall, we haven't reviewed the theme park queue yet.",1
There aren't any problems with the online course at all.,2
"Frankly, there isn't a single downside to the cloud storage plan.",2
The analyst didn't mention the coffee maker in the notes.,1
The judge isn't available to discuss the weather forecast today.,1
There is no structural issues anywhere near the garden landscaping.,2
"Truth be told, the vendor didn't report any problems with the puzzle.",2
"Honestly, there isn't a trace of crack in the wall in the foundation.",2
There isn't a single downside to the wildlife safari.,2
The customer said there is no shortage of issues with the customer service.,0
The judge couldn't recommend the printer to anyone.,0
My mentor didn't mention the job interview in the notes.,1
"According to my supervisor, the car dealership has zero issues.",2
I have never had any trouble with the dryer.,2
The reviewer didn't report any problems with the online order.,2
There is no data yet on poor drainage near the crawl space.,1
The analyst didn't report any problems with the bakery.,2
The customer noted there were no issues with the resistance bands.,2
"Overall, no decision has been made about the bicycle.",1
"Honestly, according to our neighbor, the weather forecast has zero issues.",2
